etcd_8c_5s_trail1, 1138.0806, 0.0070, 0.0064, 0.0173, 8
etcd_16c_5s_trail1, 1458.4889, 0.0110, 0.0096, 0.0294, 16
etcd_32c_5s_trail1, 2086.9810, 0.0153, 0.0126, 0.0403, 32
etcd_48c_5s_trail1, 2378.0718, 0.0202, 0.0198, 0.0401, 48
etcd_64c_5s_trail1, 2515.5865, 0.0254, 0.0235, 0.0552, 64
etcd_80c_5s_trail1, 2723.7191, 0.0294, 0.0292, 0.0513, 80
etcd_96c_5s_trail1, 2907.2260, 0.0330, 0.0323, 0.0577, 96
etcd_128c_5s_trail1, 3296.7049, 0.0388, 0.0379, 0.0687, 128
etcd_160c_5s_trail1, 3006.5597, 0.0532, 0.0517, 0.0946, 160
etcd_192c_5s_trail1, 3159.2999, 0.0608, 0.0586, 0.1079, 192
etcd_224c_5s_trail1, 3436.0809, 0.0652, 0.0638, 0.1137, 224
etcd_256c_5s_trail1, 3645.1079, 0.0702, 0.0682, 0.1235, 256